reimberse [riː?mb?ːrs],배상[변제]하다
pay back [pe?bæk],"투자금 회수, 원금 상환"
redeem [r?diːm],(빚을) 청산[상환(償還)]하다;(죄악으로부터) 구하다[구원하다];서약/약속을 지키다;(전당포에 맡긴 귀중품 등을 돈을 주고) 되찾다;
indemnify [?ndemn?fa?],배상[보상]하다
recompense [rek?mpens],보상[배상]하다
reiterate [ri?t?re?t],(말을 강조하며) 되풀이하다
recapitulate [?riːk?p?t?ule?t],(말·결정 사항 등의) 개요를 말하다
iterate [?t?re?t],(계산·컴퓨터 처리 절차를) 반복하다
reprise [r?priːz],(특히 음악에서) 반복 부분
release [r?liːs],"(갇히거나 구속되어 있는 상태에서) 풀어 주다, 석방[해방]하다;(대중들에게) 공개[발표]하다;(감정을) 발산하다[표출시키다]"
exonerate [??z?ːn?re?t],"혐의를 풀다, 해방시키다"
let off streams,"울분을 토하다, 감정을 표출하다"
relegate [rel??e?t],"격하[좌천, 강등]시키다;(책무) 미루다, (안 좋은 곳으로) 보내다"
banish [bæn??],"(국외로) 추방하다, 유배 보내다;없애다(from)"
unperson [??np??:rsn],"좌천시키다, 실각시키다, 정치적으로 매장하다;(정치적·사상적으로) 완전히 무시된 사람,  과거의 인물"
deport [d?p?ːrt],(보통 범법자·불법 체류자를 국외로) 강제 추방하다
relentless [r?lentl?s],가차 없는
unrelenting [??nr?lent?ŋ],"가차없는, 수그러들 줄 모르는"
inexorable [?neks?r?bl],"멈출[변경할] 수 없는, 거침없는"
scathing [ske?ð?ŋ],(비판이) 준열한[통렬한/가차 없는]
draconian [dr?ko?ni?n],"매우 엄격한, 가혹한"
remorseless [r?m?ːrsl?s],"무자비한, 가차 없는;점점 심해지는 듯한"
indefatigable [??nd?fæt???bl],포기할[지칠] 줄 모르는
reliable [r?la??bl],믿을[신뢰할] 수 있는
verifiable [ver?fa??bl],"확실한, 증명할 수 있는"
foolproof [fuːlpruːf],실패할 리 없는
reliant [r?la??nt],의존[의지]하는
relief [r?liːf],"안도, 안심;(고통·불안 등의) 경감[완화/제거]"
respite [resp?t],"(불쾌한 일의) 일시적 중단, 한숨 돌리기"
solace [s?ːl?s],"위안, 위로(가 되는 사람·것)"
