단어,뜻
failure [féiljǝr],실패
succeed [sǝksíːd],성공하다(in); 계승하다(to)
tie [tai],묶다
prepare [pripέǝr],준비하다
support [sǝpɔ́ːrt],지지하다
shape [ʃeip],모양
awake [ǝwéik],깨어있는
crew [kruː],승무원
underground [ʌ́ndǝrgràund],지하
wrap [ræp],포장하다
dialogue [dáiǝlɔ̀ːg],대화
sentence [séntəns],문장
expect [ikspékt],기대하다; 예정되어 있다
unexpected [ʌ̀nikspéktid],예기치 못한
comfort [kʌ́mfǝrt],편안함
confident [kάnfidənt],"자신 있는, 확신하는"
cancel [kǽnsəl],취소하다
thoughtful [θɔ́ːtfǝl],"사려 깊은, 세심한"
native [néitiv],"토착민, 원주민"
display [displéi],"전시하다, 드러내다"
similar [símǝlǝr],비슷한
issue [íʃuː/ísjuː],"쟁점, 문제"
funeral [fjúːnərǝl],장례식
soap [soup],비누
stick [stik],막대기; 찌르다; 붙이다
industrial [indʌ́striǝl],산업의
industry [índǝstri],산업
modern [mάdǝrn],현대의
nowadays [náuədèiz],"요즘, 오늘날에는"
former [fɔ́ːrmǝr],이전의
vision [víʒən],"시력, 시각; 전망, 광경; 꿈"
visual [víʒuǝl],시각적인
view [vjuː],"견해, 관점; 조망, 관찰; 바라보다"
landscape [lǽndskèip],"풍경, 경치; 조망, 전경"
sight [sait],"시각, 시력; 조망, 경치"
site [sait],장소
inner [ínǝr],"내면의, 내부의, 안쪽의"
outer [áutǝr],"외부의, 밖의"
tongue [tʌŋ],"혀; 말, 언어"
language [lǽŋgwidʒ],언어
shore [ʃɔːr],해변
coal [koul],석탄
lay – laid – laid [lei],눕히다; 놓다; (알을) 낳다
stand [stænd],견디다; 서 있다; (어떤 입장을) 취하다
branch [bræntʃ],"나뭇가지, 가지"
level [lévəl],"정도, 수준"
tough [tʌf],"강인한, 불굴의; 힘든, 고된"
deliver [dilívǝr],배달하다
delivery [dilívəri],배달
balance [bǽlǝns],균형
challenge [tʃǽlindʒ],도전; 도전하다
squirrel [skwə́ːrə],다람쥐
ceiling [síːliŋ],천장
slip [slip],미끄러지다
slide [slaid],미끄러지다; 비탈길
origin [ɔ́ːrǝdʒin],"기원, 태생"
original [ǝrídʒǝnəl],"원래의, 독창적인"
homesick [hoʊmsɪk],향수병에 걸린(고향을 그리워하는)
express [iksprés],표현하다; 급행의
exist [igzíst],존재하다
spaceship [speɪsʃɪp],우주선
pronunciation [prǝnʌ̀nsiéiʃən],발음
shelf [ʃelf],선반
glue [gluː],접착제; 붙이다
neighborhood [néibǝrhùd],이웃
flavor [fléivǝr],"맛, 풍미"
sweet [swiːt],달콤한
bitter [bítǝr],(맛이) 쓴
helpless [hélplis],"무력한, 속수무책인"
recent [ríːsənt],최근의
regard [rigάːrd],여기다
boast [boust],"자랑하다, 뽐내다"
skinny [skíni],깡마른
evil [íːvəl],사악한; 악
mankind [mæ̀nkáind],인류
wealth [welθ],"부, 재산"
wealthy [wélθi],부유한
impression [impréʃən],"인상, 감명"
impress [imprés],감명을 주다
touching [tʌtʃiŋ],감동적인
moving [múːviŋ],감동시키는
thankful [θǽŋkfǝl],고마워하는
grateful [gréitfǝl],고마워하는
text [tekst],"글, 본문"
textbook [tékstbùk],교과서
wallet [wάlit],지갑
purpose [pə́ːrpǝs],목적
sense [sens],감각
hug [hʌg],껴안다
usual [júːʒuəl],"일상적인, 보통의"
intelligence [intélǝdʒəns],지능
apply [ǝplái],신청하다; 적용하다; (화장품 등) 바르다
scream [skriːm],비명을 지르다
horror [hɔ́ːrǝr],공포
horrible [hɔ́ːrǝbəl],끔찍한
pair [pεǝr],한 쌍
fright [frait],공포
frighten [fráitn],"놀라게 하다, 겁주다"
tend [tend],"~하는 경향이 있다; 돌보다, 간호하다"
tendency [téndǝnsi],경향
leak [liːk],누출; 새다
stare [stεǝr],"응시하다, 빤히 보다"
gaze [geiz],"응시하다, 멍하니 바라보다"
expend [ikspénd],"(시간, 돈) 들이다, 쓰다"
probably [prάbǝbli],아마
owe [ou],"신세지다, 빚지다; ~의 탓으로 하다"
chain [tʃein],사슬; 연쇄
biology [baiάlǝdʒi],생물학
protest [prǝtést],항의하다
steam [stiːm],증기
mosquito [mǝskíːtou],모기
fortunate [fɔ́ːrtʃənit],행운의
fortunately [fɔ́ːrtʃənǝtli],다행히
fellow [félou],"동료, 친구, 녀석"
system [sístǝm],"체계, 체제"
tomb [tuːm],무덤
grave [greiv],무덤
pity [píti],연민
straight [streit],"곧은, 일직선의; 곧장, 솔직하게"
curly [kə́ːrli],곱슬곱슬한
port [pɔːrt],항구
harbor [hάːrbǝr],항구
wheat [hwiːt],밀
straw [strɔː],"밀짚, 지푸라기; 빨대"
grain [grein],"낟알, 곡물"
folk [fouk],"민중, 사람들; 민속의"
design [dizáin],"설계하다, 계획하다"
selfish [sélfiʃ],이기적인
argue [άːrgjuː],논쟁하다
argument [άːrgjǝmǝnt],논쟁
steady [stédi],"꾸준한, 안정된"
breeze [briːz],"산들바람, 미풍"
mission [míʃən],임무; 파견
determine [ditə́ːrmin],결심시키다
snake [sneik],뱀
locate [lóukeit],위치하다; 위치를 찾다
various [vέəriǝs],다양한
vary [vέəri],"다르다, 다양하다, 변하다"
link [liŋk],연결하다
real [ríːəl],"진짜의, 현실의"
realistic [rìːǝlístik],현실적인
realize [ríːǝlàiz],깨닫다; 실현하다
flesh [fleʃ],"살, 살코기"
flash [flæʃ],번쩍이다
pumpkin [pʌ́mpkin],호박
yell [jel],고함치다
committee [kǝmíti],위원회
crab [kræb],게
experience [ikspíəriǝns],경험; 경험하다
experiment [ikspérǝmǝnt],실험; 실험하다
sculpture [skʌ́lptʃǝr],조각상
sculptor [skʌ́lptǝr],조각가
statue [stǽtʃuː],동상
piece [piːs],작품; 조각
trash [træʃ],쓰레기
garbage [gάːrbidʒ],쓰레기
voyage [vɔ́iidʒ],항해
reach [riːtʃ],도착하다; 도달하다
respond [rispάnd],반응하다; 답하다
wildlife [waildlaif],야생동물
sow [sou],"씨 뿌리다; 뿌리다, 퍼뜨리다"
saw [sɔː],톱질하다
sew [sou],"바느질하다, 꿰메다"
paradise [pǽrǝdàis],"천국, 낙원"
normal [nɔ́ːrməl],"정상의, 보통의"
function [fʌ́ŋḱʃən],기능
client [kláiǝnt],고객
pork [pɔːrk],돼지고기
influence [ínfluǝns],영향을 끼치다
affect [ǝfékt],영향을 주다; 감명을 주다
effect [ifékt],"효과, 영향, 결과"
speech [spiːtʃ],말; 연설
target [tάːrgit],"과녁, 표적; 목표"
run – ran – run [rʌn],운영하다; (기계) 작동하다; 흐르다
turkey [tə́ːrki],칠면조
horizon [hǝráizən],"수평선, 지평선"
pattern [pǽtǝrn],"양상, 양식, 무늬"
genius [dʒíːnjǝs],천재
cost [kɔːst],비용; 비용이 들다
mayor [méiǝr],시장
shoot [ʃuːt],쏘다
mean [miːn],"의미하다; 비열한; 중간의, 평균의"
meaningful [míːniŋfǝl],"의미 있는, 중요한"
dull [dʌl],"무딘; 둔한; 지루한, 따분한"
belong [bilɔ́(ː)ŋ],~에 속하다; ~의 소유이다
overhear [òuvǝrhíǝr],엿듣다
rate [reit],비율; 요금; 속도; 평가하다
marriage [mǽridʒ],결혼
giraffe [dʒǝrǽf],기린
nuclear [njúːkliǝr],핵(核)의; 핵무기
bulb [bʌlb],전구
highly [háili],"매우, 대단히"
let – let – let [let],"~하게 하다, 시키다"
instrument [ínstrǝmǝnt],"도구, 기구; 악기"
topic [tάpik],주제
bother [bάðǝr],괴롭히다
award [ǝwɔ́ːrd],(상을) 수여하다
prize [praiz],"상품, 경품"
current [kə́ːrǝnt],"현재의, 통용되는"
wave [weiv],파도
